,PROFILEMENTION_1,COMPANYMENTION_1,POLL_1,CONTENT_Document,CONTENT_Image,CONTENT_Poll,CONTENT_Text,CONTENT_Video (external),CONTENT_Video (native),LINKS_1,LINKS_2,TAGS_1-5,TAGS_6 and more,EMOJIS_1,CHARACTER_COUNT,AGE_IN_DAYS,ENGAGEMENT
171,0,0,0,0,0,0,1,0,0,1,0,0,0,1,37.72267222772003,3.4641016151377544,3384
172,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10.954451150103322,3.605551275463989,3610
173,0,0,0,0,0,0,1,0,0,0,0,0,0,1,45.60701700396552,3.605551275463989,3236
174,0,0,0,0,0,0,1,0,0,1,0,0,0,0,22.847319317591726,3.7416573867739413,2814
175,0,0,0,0,0,0,1,0,0,1,0,0,0,0,53.21653878260028,3.7416573867739413,4271
176,0,0,0,0,0,0,1,0,0,1,0,0,0,0,23.68543856465402,3.872983346207417,3032
177,0,0,0,0,0,0,1,0,0,1,0,0,0,0,12.409673645990857,4.0,2833
178,0,0,0,0,0,0,1,0,0,1,0,0,0,0,24.372115213907882,4.123105625617661,3119
179,0,0,0,0,0,0,1,0,0,1,0,0,0,0,29.46183972531247,4.242640687119285,1469
180,0,0,0,0,1,0,0,0,0,1,0,0,0,0,27.568097504180443,4.242640687119285,4882
181,0,0,0,0,0,0,1,0,0,1,0,0,0,0,20.273134932713294,4.358898943540674,1444
182,0,0,0,0,0,0,1,0,0,0,0,0,0,0,18.027756377319946,4.358898943540674,9535
183,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6.244997998398398,4.47213595499958,11225
184,0,0,0,0,0,0,1,0,0,1,0,0,0,0,34.044089061098404,4.47213595499958,3883
185,0,0,0,0,0,0,1,0,0,0,0,0,0,0,16.217274740226856,4.58257569495584,2538
186,0,0,0,0,0,0,1,0,0,0,0,0,0,0,22.847319317591726,4.58257569495584,5739
187,0,0,0,0,0,0,1,0,0,0,0,0,0,0,51.96152422706632,4.69041575982343,8905
188,0,0,0,0,1,0,0,0,0,0,0,0,0,0,17.349351572897472,4.795831523312719,3053
189,0,0,0,0,0,0,1,0,0,1,0,0,0,0,23.916521486202797,4.898979485566356,2415
190,0,0,0,0,0,0,1,0,0,1,0,0,0,0,29.916550603303182,5.0,1582
191,0,0,0,0,0,0,1,0,0,0,0,0,0,0,39.824615503479755,5.0,3155
192,0,0,0,0,0,0,1,0,0,0,0,0,0,0,12.84523257866513,5.0990195135927845,3367
193,0,0,0,0,0,0,1,0,0,1,0,0,0,0,41.44876355212541,5.0990195135927845,3131
194,0,0,0,0,0,0,1,0,0,0,0,0,0,0,11.180339887498949,5.196152422706632,2422
195,0,0,0,0,0,0,1,0,0,0,0,0,0,0,31.480152477394387,5.196152422706632,4951
196,0,0,0,0,0,0,1,0,0,0,0,0,0,0,16.0,5.291502622129181,2426
197,0,0,0,0,0,0,1,0,0,1,0,0,0,0,53.81449618829484,5.291502622129181,6421
198,0,0,0,0,0,0,1,0,0,0,0,0,0,0,11.135528725660043,5.385164807134504,3958
199,0,0,0,0,0,0,1,0,0,0,0,0,0,0,15.165750888103101,5.477225575051661,2625
200,0,0,0,0,0,0,1,0,0,0,0,0,0,0,16.673332000533065,5.5677643628300215,3098
201,0,0,0,0,0,0,1,0,0,1,0,0,0,0,29.832867780352597,5.5677643628300215,2965
202,0,0,0,0,0,0,1,0,0,0,0,0,0,0,16.09347693943108,5.656854249492381,3028
203,0,0,0,0,0,0,1,0,0,0,0,0,0,0,26.038433132583073,5.656854249492381,4228
204,0,0,0,0,0,0,1,0,0,0,0,0,0,0,17.378147196982766,5.744562646538029,1842
205,0,0,0,0,0,0,1,0,0,1,0,0,0,0,40.29888335921977,5.744562646538029,2829
206,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8.717797887081348,5.830951894845301,2630
207,0,0,0,0,0,0,1,0,0,0,0,0,0,1,28.106938645110393,5.830951894845301,5525
208,0,0,0,0,0,0,1,0,0,1,0,0,0,0,49.0,5.916079783099616,2005
209,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8.774964387392123,5.916079783099616,2910
210,0,0,0,0,0,0,1,0,0,1,0,0,0,0,20.12461179749811,6.0,4296
211,0,0,0,0,0,0,1,0,0,1,0,0,0,0,48.65182422068057,6.082762530298219,2121
212,0,0,0,0,0,0,1,0,0,1,0,0,0,0,24.819347291981714,6.164414002968976,1784
213,0,0,0,0,0,0,1,0,0,1,0,0,0,0,29.816103031751148,6.164414002968976,2634
214,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7.810249675906654,6.244997998398398,2575
215,0,0,0,0,1,0,0,0,0,1,0,0,0,0,15.066519173319364,6.244997998398398,3915
216,0,0,0,0,0,0,1,0,0,0,0,0,0,0,18.083141320025124,6.324555320336759,2921
217,0,0,0,0,0,0,1,0,0,0,0,0,0,0,25.534290669607408,6.324555320336759,6004
218,0,0,0,0,0,0,1,0,0,0,0,0,0,0,25.199206336708304,6.324555320336759,2322
